type,sectionName,webPublicationDate,webTitle,webUrl,date
article,World news,2023-10-18T16:00:37Z,Who are the hostages taken by Hamas from southern Israel?,https://www.theguardian.com/world/2023/oct/18/who-are-hostages-taken-by-hamas-from-southern-israel,2023-10-18
article,Opinion,2023-10-18T17:52:09Z,"The Guardian view on support for Ukraine: Kyiv stands strong, but others are faltering | Editorial",https://www.theguardian.com/commentisfree/2023/oct/18/the-guardian-view-on-support-for-ukraine-kyiv-stands-strong-but-others-are-faltering,2023-10-18
liveblog,World news,2023-10-18T17:58:11Z,"Russia-Ukraine war live: US supplying long-range missiles to Kyiv ‘just prolongs the agony’ for Ukraine, warns Putin – as it happened",https://www.theguardian.com/world/live/2023/oct/18/russia-ukraine-war-live-vladimir-putin-xi-jinping-beijing-us-missiles,2023-10-18
article,World news,2023-10-19T00:01:13Z,Russia-Ukraine war at a glance: what we know on day 603 of the invasion,https://www.theguardian.com/world/2023/oct/19/russia-ukraine-war-at-a-glance-what-we-know-on-day-603-of-the-invasion,2023-10-19
liveblog,World news,2023-10-19T17:43:59Z,Russia-Ukraine war: Putin’s ‘cynical’ comments on civilian casualties criticised by Germany – as it happened,https://www.theguardian.com/world/live/2023/oct/19/russia-ukraine-war-putin-hungary-viktor-orban-lavrov-north-korea,2023-10-19
liveblog,World news,2023-10-19T23:30:52Z,Israel defence minister tells troops they will soon see Gaza – as it happened,https://www.theguardian.com/world/live/2023/oct/19/israel-hamas-war-live-news-today-gaza-aid-rafah-crossing-egypt-joe-biden-visit-rishi-sunak-netanyahu-meeting-tel-aviv-latest-updates,2023-10-19
article,World news,2023-10-20T22:57:34Z,"The Gaza diplomacy of Biden, Sunak and co seems to be heading for failure",https://www.theguardian.com/world/2023/oct/20/the-gaza-diplomacy-of-biden-sunak-and-co-seems-to-be-heading-for-failure,2023-10-20
liveblog,World news,2023-10-21T04:45:24Z,"Biden ‘didn’t hear the full question’ on whether Israel should delay Gaza ground assault, White House says – as it happened",https://www.theguardian.com/world/live/2023/oct/20/israel-hamas-war-live-joe-biden-address-the-nation-gaza-ground-offensive-invasion-border-troops,2023-10-21
article,World news,2023-10-21T05:28:10Z,Israeli ground assault on Gaza looms as Hamas releases first hostages,https://www.theguardian.com/world/2023/oct/21/israeli-ground-assault-on-gaza-looms-as-hamas-releases-first-hostages,2023-10-21
article,Opinion,2023-10-21T06:00:40Z,France’s grief for Hamas’s victims is right – its suspicion of French Muslims is not | Rokhaya Diallo,https://www.theguardian.com/commentisfree/2023/oct/21/france-hamas-victims-french-muslims-israel-football,2023-10-21
